EmployeeNumber,Over18,StandardHours,Age,Department,JobRole,BusinessTravel,MaritalStatus,MonthlyIncome,WorkLifeBalance,YearsAtCompany,JobSatisfaction,PerformanceRating,Attrition
295,Y,80,44,Sales,Manufacturing Director,Non-Travel,Single,6196,4,11,4,3,No
296,Y,80,51,Human Resources,Sales Executive,Travel_Rarely,Single,13796,3,10,1,3,No
297,Y,80,38,Research & Development,Laboratory Technician,Travel_Rarely,Married,4739,2,1,1,3,Yes
298,Y,80,47,Sales,Research Scientist,Travel_Rarely,Married,2940,2,17,1,3,No
299,Y,80,50,Sales,Laboratory Technician,Travel_Rarely,Married,2340,4,8,2,4,No
300,Y,80,45,Research & Development,Sales Executive,Travel_Frequently,Single,6133,2,1,1,3,No
301,Y,80,50,Sales,Sales Executive,Travel_Frequently,Divorced,19043,4,1,1,4,No
302,Y,80,22,Sales,Manager,Travel_Rarely,Married,12225,1,2,1,4,No
303,Y,80,36,Human Resources,Sales Executive,Non-Travel,Divorced,11752,1,15,4,3,No
304,Y,80,21,Sales,Laboratory Technician,Travel_Rarely,Single,5457,3,18,3,3,No
305,Y,80,52,Research & Development,Manufacturing Director,Travel_Frequently,Married,11848,4,3,2,3,No
306,Y,80,34,Human Resources,Manufacturing Director,Non-Travel,Divorced,11241,3,17,1,3,No
307,Y,80,45,Research & Development,Manager,Travel_Frequently,Married,2453,3,19,4,3,No
308,Y,80,47,Sales,Laboratory Technician,Travel_Frequently,Married,11896,1,17,3,3,No
309,Y,80,46,Sales,Laboratory Technician,Non-Travel,Married,12976,3,9,3,3,Yes
310,Y,80,23,Research & Development,Sales Executive,Travel_Rarely,Divorced,17872,2,10,3,4,No
311,Y,80,52,Research & Development,Laboratory Technician,Travel_Rarely,Single,2818,3,16,4,3,No
312,Y,80,58,Research & Development,Research Scientist,Travel_Rarely,Married,6868,4,19,1,4,No
313,Y,80,54,Sales,Sales Executive,Travel_Rarely,Single,18396,2,15,3,3,No
314,Y,80,41,Research & Development,Research Scientist,Non-Travel,Single,14171,1,19,4,4,No
315,Y,80,46,Human Resources,Manager,Non-Travel,Divorced,2920,4,12,4,3,No
316,Y,80,48,Research & Development,Manufacturing Director,Non-Travel,Divorced,11506,2,1,2,3,No
317,Y,80,52,Human Resources,Manager,Travel_Frequently,Single,8475,4,1,4,3,Yes
318,Y,80,50,Research & Development,Manufacturing Director,Non-Travel,Married,4017,2,13,3,3,No
319,Y,80,38,Research & Development,Manager,Travel_Rarely,Divorced,9957,4,3,3,3,No
320,Y,80,49,Research & Development,Laboratory Technician,Travel_Frequently,Married,18230,4,16,4,3,Yes
321,Y,80,40,Research & Development,Research Scientist,Travel_Rarely,Married,11420,2,12,3,3,No
322,Y,80,50,Sales,Manufacturing Director,Travel_Rarely,Married,6792,1,3,4,3,No
323,Y,80,20,Research & Development,Sales Executive,Non-Travel,Single,15237,1,2,3,3,No
324,Y,80,35,Research & Development,Research Scientist,Non-Travel,Married,18251,4,11,2,3,No
325,Y,80,42,Research & Development,Sales Executive,Travel_Rarely,Single,12707,4,7,1,3,No
326,Y,80,59,Human Resources,Research Scientist,Travel_Rarely,Single,3438,1,1,2,4,No
327,Y,80,48,Research & Development,Research Scientist,Travel_Frequently,Married,5543,1,5,2,3,No
328,Y,80,20,Sales,Manager,Non-Travel,Married,13367,3,9,1,3,No
329,Y,80,57,Sales,Manufacturing Director,Travel_Frequently,Married,17520,1,11,3,4,No
330,Y,80,41,Sales,Manufacturing Director,Travel_Frequently,Married,8343,4,9,1,3,No
331,Y,80,49,Research & Development,Research Scientist,Travel_Frequently,Single,4263,2,9,4,3,Yes
332,Y,80,39,Research & Development,Laboratory Technician,Travel_Rarely,Married,12161,1,2,1,3,No
333,Y,80,40,Human Resources,Laboratory Technician,Travel_Frequently,Married,2211,3,19,2,3,No
334,Y,80,19,Research & Development,Sales Executive,Travel_Frequently,Single,15809,3,9,1,3,No
335,Y,80,44,Human Resources,Sales Executive,Travel_Rarely,Divorced,9027,3,8,3,3,Yes
336,Y,80,59,Research & Development,Manager,Non-Travel,Divorced,2331,2,19,2,3,No
337,Y,80,19,Research & Development,Research Scientist,Non-Travel,Single,10169,1,18,4,3,No
338,Y,80,43,Research & Development,Sales Executive,Travel_Frequently,Divorced,11133,1,13,3,3,No
339,Y,80,34,Research & Development,Sales Executive,Travel_Rarely,Single,16591,1,1,2,4,No
340,Y,80,57,Sales,Research Scientist,Non-Travel,Married,18125,2,4,4,3,No
341,Y,80,50,Research & Development,Manager,Travel_Frequently,Married,2727,2,19,3,4,No
342,Y,80,26,Research & Development,Sales Executive,Travel_Frequently,Divorced,13054,4,7,4,4,No
343,Y,80,56,Research & Development,Manager,Travel_Rarely,Married,5243,3,6,1,3,Yes
344,Y,80,46,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,19032,3,5,1,3,No
345,Y,80,59,Research & Development,Manager,Non-Travel,Divorced,7095,1,10,4,3,No
346,Y,80,43,Research & Development,Laboratory Technician,Travel_Rarely,Married,15809,2,11,1,4,No
347,Y,80,52,Research & Development,Laboratory Technician,Non-Travel,Married,12929,2,17,4,3,No
348,Y,80,42,Research & Development,Manager,Non-Travel,Divorced,16842,1,18,3,4,Yes
349,Y,80,41,Research & Development,Laboratory Technician,Non-Travel,Married,19393,1,9,2,3,No
350,Y,80,30,Research & Development,Manufacturing Director,Travel_Frequently,Single,3550,4,13,4,3,No
351,Y,80,24,Sales,Research Scientist,Travel_Frequently,Married,10995,3,2,2,3,No
352,Y,80,53,Research & Development,Laboratory Technician,Non-Travel,Married,17166,3,17,2,3,No
353,Y,80,37,Sales,Laboratory Technician,Non-Travel,Single,9492,3,14,4,3,No
354,Y,80,18,Research & Development,Manager,Travel_Rarely,Married,14501,4,5,1,3,No
355,Y,80,25,Research & Development,Manufacturing Director,Travel_Rarely,Married,17567,1,9,3,3,No
356,Y,80,33,Research & Development,Research Scientist,Travel_Frequently,Divorced,15265,1,11,2,3,No
357,Y,80,31,Research & Development,Manager,Travel_Frequently,Married,7424,3,6,3,4,No
358,Y,80,29,Human Resources,Manager,Travel_Rarely,Married,16086,3,16,2,4,No
359,Y,80,40,Research & Development,Manufacturing Director,Non-Travel,Single,5161,4,0,4,3,No
360,Y,80,32,Human Resources,Research Scientist,Travel_Frequently,Divorced,11215,2,17,1,3,No
361,Y,80,45,Research & Development,Manufacturing Director,Non-Travel,Divorced,8617,2,14,3,3,No
362,Y,80,51,Sales,Research Scientist,Travel_Rarely,Divorced,13926,3,18,2,3,No
363,Y,80,19,Sales,Manufacturing Director,Travel_Frequently,Married,17092,4,0,4,3,No
364,Y,80,49,Research & Development,Manager,Travel_Frequently,Divorced,18160,3,4,4,3,No
365,Y,80,40,Sales,Manager,Travel_Rarely,Single,19560,2,14,2,4,No
366,Y,80,39,Research & Development,Sales Executive,Travel_Frequently,Divorced,17638,3,2,2,4,No
367,Y,80,42,Research & Development,Laboratory Technician,Travel_Rarely,Single,4233,2,0,2,3,No
368,Y,80,39,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,6700,2,7,1,3,Yes
369,Y,80,39,Research & Development,Sales Executive,Travel_Rarely,Divorced,13027,2,11,2,3,Yes
370,Y,80,59,Research & Development,Laboratory Technician,Travel_Frequently,Single,9860,1,18,2,3,No
371,Y,80,23,Research & Development,Manufacturing Director,Non-Travel,Divorced,9526,1,11,1,3,No
372,Y,80,32,Research & Development,Research Scientist,Non-Travel,Divorced,7559,3,12,4,3,No
373,Y,80,54,Research & Development,Laboratory Technician,Non-Travel,Divorced,8732,2,0,2,3,No
374,Y,80,50,Research & Development,Manager,Travel_Frequently,Married,4513,1,18,3,4,No
375,Y,80,25,Sales,Sales Executive,Travel_Frequently,Single,9830,3,5,4,3,No
376,Y,80,22,Human Resources,Laboratory Technician,Non-Travel,Divorced,16781,3,7,3,4,No
377,Y,80,56,Research & Development,Laboratory Technician,Non-Travel,Single,9910,3,3,2,4,No
378,Y,80,21,Research & Development,Manager,Travel_Rarely,Single,17847,3,4,1,4,No
379,Y,80,23,Sales,Manufacturing Director,Travel_Rarely,Single,7649,3,6,1,3,Yes
380,Y,80,49,Research & Development,Research Scientist,Travel_Rarely,Divorced,19480,4,3,1,3,Yes
381,Y,80,47,Sales,Manager,Non-Travel,Divorced,11120,2,19,2,3,No
382,Y,80,52,Sales,Research Scientist,Non-Travel,Single,3951,3,3,2,3,No
383,Y,80,57,Research & Development,Manufacturing Director,Non-Travel,Married,12165,4,14,3,3,No
384,Y,80,33,Research & Development,Laboratory Technician,Travel_Rarely,Single,16352,2,4,1,3,Yes
385,Y,80,30,Research & Development,Research Scientist,Travel_Frequently,Married,11746,1,8,2,3,Yes
386,Y,80,59,Human Resources,Sales Executive,Non-Travel,Single,12970,3,1,4,3,No
387,Y,80,47,Research & Development,Sales Executive,Travel_Frequently,Single,11186,4,6,2,4,No
388,Y,80,36,Research & Development,Manager,Travel_Frequently,Single,10804,1,16,2,3,No
389,Y,80,34,Sales,Manufacturing Director,Travel_Frequently,Divorced,2595,4,15,4,3,No
390,Y,80,36,Research & Development,Manager,Travel_Rarely,Married,9875,2,16,1,3,No
391,Y,80,45,Research & Development,Manager,Travel_Frequently,Married,7972,2,19,4,3,No
392,Y,80,43,Human Resources,Manager,Non-Travel,Single,17882,1,1,1,3,No
393,Y,80,54,Research & Development,Sales Executive,Travel_Rarely,Divorced,2858,4,10,4,3,No
394,Y,80,43,Research & Development,Sales Executive,Non-Travel,Divorced,7519,3,1,3,3,No
395,Y,80,40,Sales,Manager,Non-Travel,Married,11980,3,0,1,3,No
396,Y,80,26,Research & Development,Sales Executive,Travel_Rarely,Divorced,6317,1,1,2,3,No
397,Y,80,29,Research & Development,Manufacturing Director,Non-Travel,Married,14144,1,8,3,3,No
398,Y,80,18,Sales,Manager,Non-Travel,Married,14879,1,1,1,3,No
399,Y,80,18,Sales,Sales Executive,Travel_Rarely,Married,3030,4,14,1,3,Yes
400,Y,80,51,Research & Development,Research Scientist,Non-Travel,Divorced,11487,3,9,1,3,Yes
401,Y,80,49,Sales,Manager,Travel_Frequently,Married,15305,3,14,4,4,Yes
402,Y,80,42,Human Resources,Manager,Non-Travel,Married,12255,3,9,1,4,Yes
403,Y,80,57,Research & Development,Manufacturing Director,Travel_Frequently,Single,3447,1,16,2,3,No
404,Y,80,18,Sales,Laboratory Technician,Non-Travel,Married,12237,3,8,1,3,No
405,Y,80,33,Research & Development,Laboratory Technician,Travel_Rarely,Married,4850,2,17,2,3,No
406,Y,80,56,Research & Development,Manufacturing Director,Travel_Rarely,Single,13953,1,3,2,3,No
407,Y,80,22,Research & Development,Manufacturing Director,Non-Travel,Single,10106,3,8,2,3,No
408,Y,80,39,Sales,Manufacturing Director,Travel_Rarely,Divorced,12000,4,15,3,3,No
409,Y,80,46,Sales,Laboratory Technician,Non-Travel,Married,11503,1,3,2,3,No
410,Y,80,20,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,17493,2,15,4,3,No
411,Y,80,29,Research & Development,Sales Executive,Travel_Frequently,Divorced,6055,2,18,1,3,Yes
412,Y,80,43,Research & Development,Manager,Non-Travel,Single,7402,4,0,4,3,No
413,Y,80,33,Research & Development,Manager,Travel_Frequently,Divorced,11281,4,5,3,3,Yes
414,Y,80,54,Research & Development,Research Scientist,Travel_Frequently,Married,3672,1,9,1,3,No
415,Y,80,39,Sales,Research Scientist,Non-Travel,Single,6532,1,15,2,3,No
416,Y,80,46,Research & Development,Manager,Travel_Frequently,Married,6924,2,3,1,3,No
417,Y,80,31,Human Resources,Sales Executive,Non-Travel,Married,17269,4,12,3,3,No
418,Y,80,45,Research & Development,Laboratory Technician,Travel_Frequently,Single,14546,1,15,3,3,No
419,Y,80,22,Research & Development,Laboratory Technician,Non-Travel,Married,8085,2,19,4,3,Yes
420,Y,80,47,Sales,Sales Executive,Non-Travel,Single,14390,4,5,1,3,No
421,Y,80,22,Research & Development,Laboratory Technician,Travel_Rarely,Married,15280,2,10,1,3,No
422,Y,80,29,Research & Development,Manufacturing Director,Non-Travel,Single,6864,3,2,1,3,No
423,Y,80,33,Research & Development,Manager,Non-Travel,Divorced,11316,4,19,4,3,No
424,Y,80,43,Research & Development,Manager,Travel_Frequently,Married,3221,1,9,3,3,No
425,Y,80,43,Research & Development,Sales Executive,Non-Travel,Single,4860,1,0,2,4,No
426,Y,80,38,Research & Development,Laboratory Technician,Travel_Rarely,Married,12702,3,19,1,4,No
427,Y,80,56,Sales,Research Scientist,Travel_Frequently,Married,10428,4,10,4,3,No
428,Y,80,53,Research & Development,Research Scientist,Travel_Frequently,Married,17385,2,11,4,4,No
429,Y,80,50,Sales,Laboratory Technician,Travel_Rarely,Single,11336,1,13,2,3,No
430,Y,80,47,Sales,Research Scientist,Travel_Frequently,Divorced,5253,3,7,3,3,No
431,Y,80,54,Research & Development,Sales Executive,Travel_Frequently,Divorced,5782,3,10,1,3,No
432,Y,80,40,Research & Development,Sales Executive,Travel_Frequently,Divorced,19150,4,3,1,4,No
433,Y,80,27,Research & Development,Laboratory Technician,Travel_Frequently,Single,18343,4,6,4,3,No
434,Y,80,22,Sales,Research Scientist,Travel_Rarely,Divorced,11951,1,9,3,4,Yes
435,Y,80,53,Research & Development,Sales Executive,Travel_Rarely,Single,18269,3,18,1,3,No
436,Y,80,51,Sales,Sales Executive,Travel_Frequently,Married,16567,2,3,2,3,No
437,Y,80,48,Sales,Manufacturing Director,Travel_Frequently,Married,13683,3,1,3,3,No
438,Y,80,27,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,5513,2,17,3,3,Yes
439,Y,80,36,Sales,Sales Executive,Travel_Rarely,Single,18879,2,13,4,3,No
440,Y,80,49,Research & Development,Laboratory Technician,Travel_Rarely,Married,15335,1,15,4,3,Yes
441,Y,80,18,Sales,Manager,Travel_Frequently,Single,13372,3,10,1,3,No
442,Y,80,22,Sales,Manager,Travel_Frequently,Single,7822,2,9,4,3,No
443,Y,80,21,Sales,Sales Executive,Non-Travel,Married,16837,4,16,3,3,No
444,Y,80,33,Research & Development,Sales Executive,Travel_Rarely,Single,14122,2,13,1,4,No
445,Y,80,41,Research & Development,Sales Executive,Travel_Frequently,Married,4072,4,3,1,3,Yes
446,Y,80,33,Research & Development,Laboratory Technician,Travel_Rarely,Married,10529,4,18,3,3,Yes
447,Y,80,19,Research & Development,Manufacturing Director,Travel_Frequently,Married,7959,3,1,1,3,No
448,Y,80,45,Research & Development,Sales Executive,Travel_Rarely,Single,11107,4,6,2,3,No
449,Y,80,49,Sales,Sales Executive,Travel_Frequently,Married,7993,2,8,2,4,No
450,Y,80,44,Research & Development,Research Scientist,Non-Travel,Single,7021,4,18,1,4,No
451,Y,80,37,Research & Development,Laboratory Technician,Non-Travel,Married,15546,3,15,4,3,No
452,Y,80,41,Research & Development,Sales Executive,Travel_Rarely,Married,12174,1,15,2,3,No
453,Y,80,29,Research & Development,Research Scientist,Travel_Frequently,Divorced,18138,2,17,1,4,No
454,Y,80,52,Human Resources,Manager,Travel_Frequently,Divorced,13759,2,10,2,4,No
455,Y,80,50,Research & Development,Sales Executive,Travel_Rarely,Divorced,11190,3,6,4,4,No
456,Y,80,50,Sales,Sales Executive,Travel_Frequently,Single,14886,3,8,3,4,No
457,Y,80,54,Research & Development,Research Scientist,Travel_Rarely,Single,18779,3,3,1,3,No
458,Y,80,29,Research & Development,Laboratory Technician,Travel_Frequently,Married,19322,3,12,1,3,No
459,Y,80,20,Research & Development,Sales Executive,Travel_Rarely,Married,11828,2,3,1,3,Yes
460,Y,80,18,Research & Development,Manager,Travel_Frequently,Married,4510,1,18,1,3,No
461,Y,80,50,Research & Development,Sales Executive,Travel_Rarely,Married,5435,4,1,1,3,No
462,Y,80,57,Research & Development,Manager,Travel_Frequently,Single,5201,4,8,1,3,No
463,Y,80,27,Research & Development,Manufacturing Director,Non-Travel,Married,17153,1,11,4,3,No
464,Y,80,46,Research & Development,Manufacturing Director,Travel_Frequently,Married,2058,1,1,3,3,No
465,Y,80,30,Research & Development,Manager,Travel_Rarely,Divorced,13122,1,5,4,3,No
466,Y,80,29,Sales,Laboratory Technician,Non-Travel,Married,4971,3,4,4,3,No
467,Y,80,48,Research & Development,Sales Executive,Travel_Frequently,Married,11719,2,4,3,3,No
468,Y,80,19,Sales,Sales Executive,Non-Travel,Married,16017,2,19,4,4,No
469,Y,80,52,Research & Development,Manufacturing Director,Travel_Frequently,Single,10314,2,4,2,4,Yes
470,Y,80,40,Research & Development,Manager,Non-Travel,Divorced,11628,3,3,4,3,Yes
471,Y,80,34,Sales,Sales Executive,Travel_Rarely,Married,11354,2,8,1,3,No
472,Y,80,43,Research & Development,Sales Executive,Travel_Frequently,Married,13492,3,9,2,3,Yes
473,Y,80,25,Sales,Laboratory Technician,Travel_Frequently,Divorced,5345,2,15,2,3,No
474,Y,80,46,Sales,Research Scientist,Travel_Rarely,Married,17357,1,9,3,3,No
475,Y,80,43,Research & Development,Manufacturing Director,Non-Travel,Single,2561,4,9,4,3,No
476,Y,80,27,Research & Development,Manufacturing Director,Travel_Rarely,Married,8261,4,18,4,4,No
477,Y,80,43,Human Resources,Research Scientist,Travel_Rarely,Single,3737,3,9,2,3,Yes
478,Y,80,51,Research & Development,Sales Executive,Non-Travel,Single,11096,2,5,4,3,No
479,Y,80,58,Research & Development,Laboratory Technician,Travel_Rarely,Married,14682,4,16,4,3,No
480,Y,80,24,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,13723,1,4,3,3,No
481,Y,80,21,Sales,Manufacturing Director,Travel_Frequently,Single,14098,1,5,2,3,No
482,Y,80,28,Human Resources,Laboratory Technician,Travel_Frequently,Divorced,11126,1,14,1,4,Yes
483,Y,80,46,Research & Development,Research Scientist,Travel_Rarely,Married,15389,3,18,2,3,No
484,Y,80,53,Research & Development,Sales Executive,Travel_Frequently,Single,10266,3,17,3,3,No
485,Y,80,42,Sales,Research Scientist,Travel_Frequently,Married,2294,2,3,3,3,No
486,Y,80,38,Research & Development,Manager,Travel_Frequently,Divorced,13434,1,7,3,3,No
487,Y,80,53,Research & Development,Manufacturing Director,Travel_Frequently,Married,7330,2,15,4,3,No
488,Y,80,27,Research & Development,Laboratory Technician,Travel_Frequently,Married,6655,2,18,2,3,No
489,Y,80,54,Sales,Manager,Travel_Frequently,Single,19493,1,19,4,3,No
490,Y,80,26,Research & Development,Laboratory Technician,Travel_Rarely,Married,15460,2,2,4,3,No
491,Y,80,41,Human Resources,Sales Executive,Travel_Frequently,Married,5771,4,9,2,4,No
492,Y,80,52,Research & Development,Sales Executive,Travel_Frequently,Married,10563,3,1,3,3,No
493,Y,80,52,Research & Development,Sales Executive,Non-Travel,Single,19558,2,3,1,3,Yes
494,Y,80,53,Sales,Laboratory Technician,Travel_Rarely,Divorced,3164,1,5,1,3,No
495,Y,80,35,Human Resources,Manager,Travel_Rarely,Divorced,11475,3,10,2,3,No
496,Y,80,56,Sales,Sales Executive,Travel_Rarely,Married,14388,3,13,2,3,No
497,Y,80,49,Research & Development,Manager,Travel_Rarely,Single,15969,2,15,3,3,No
498,Y,80,41,Research & Development,Laboratory Technician,Travel_Frequently,Married,10434,4,18,2,3,No
499,Y,80,40,Sales,Manager,Travel_Frequently,Divorced,9262,2,1,2,3,No
500,Y,80,49,Research & Development,Laboratory Technician,Non-Travel,Single,3541,4,16,3,3,No
501,Y,80,54,Sales,Laboratory Technician,Non-Travel,Divorced,4765,3,8,3,3,No
502,Y,80,29,Sales,Manufacturing Director,Travel_Rarely,Divorced,12306,2,16,4,3,Yes
503,Y,80,30,Research & Development,Laboratory Technician,Non-Travel,Single,6491,1,14,2,3,No
504,Y,80,40,Research & Development,Laboratory Technician,Non-Travel,Single,5083,2,6,1,4,No
505,Y,80,42,Research & Development,Research Scientist,Travel_Rarely,Married,3857,4,18,2,3,No
506,Y,80,52,Research & Development,Sales Executive,Travel_Rarely,Married,2769,4,2,1,3,Yes
507,Y,80,58,Sales,Manufacturing Director,Non-Travel,Divorced,19806,2,0,1,3,Yes
508,Y,80,47,Sales,Manufacturing Director,Travel_Frequently,Single,4972,4,3,1,3,No
509,Y,80,34,Sales,Manufacturing Director,Non-Travel,Single,7599,3,17,4,3,No
510,Y,80,37,Sales,Research Scientist,Non-Travel,Married,7275,2,7,3,4,No
511,Y,80,42,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,8571,4,18,3,3,No
512,Y,80,39,Research & Development,Sales Executive,Travel_Frequently,Divorced,7072,2,5,4,4,No
513,Y,80,30,Research & Development,Manager,Travel_Rarely,Married,11631,2,0,3,3,No
514,Y,80,36,Sales,Laboratory Technician,Travel_Rarely,Single,13245,1,7,4,3,Yes
515,Y,80,53,Research & Development,Research Scientist,Non-Travel,Married,16706,2,0,2,3,No
516,Y,80,29,Research & Development,Laboratory Technician,Travel_Frequently,Married,7463,1,18,4,3,No
517,Y,80,58,Sales,Laboratory Technician,Travel_Rarely,Married,9450,4,10,3,3,Yes
518,Y,80,36,Human Resources,Research Scientist,Non-Travel,Married,13095,1,14,3,4,No
519,Y,80,29,Research & Development,Manufacturing Director,Travel_Frequently,Single,3313,1,10,2,3,No
520,Y,80,26,Sales,Manufacturing Director,Non-Travel,Married,9847,1,18,4,4,No
521,Y,80,24,Research & Development,Sales Executive,Travel_Rarely,Single,19454,3,9,2,4,No
522,Y,80,45,Research & Development,Sales Executive,Travel_Rarely,Married,11166,1,11,1,4,No
523,Y,80,31,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,11930,2,0,4,3,Yes
524,Y,80,48,Research & Development,Manager,Non-Travel,Single,5285,1,6,2,3,No
525,Y,80,36,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,5095,2,16,2,3,Yes
526,Y,80,33,Research & Development,Manager,Travel_Rarely,Married,18704,1,9,3,3,No
527,Y,80,22,Research & Development,Laboratory Technician,Travel_Rarely,Married,2555,3,5,4,3,No
528,Y,80,52,Research & Development,Manufacturing Director,Non-Travel,Married,7432,4,16,1,3,No
529,Y,80,29,Research & Development,Sales Executive,Non-Travel,Single,3386,1,17,1,3,No
530,Y,80,42,Research & Development,Sales Executive,Non-Travel,Divorced,13239,1,4,4,4,No
531,Y,80,38,Research & Development,Manager,Travel_Frequently,Single,12619,3,17,4,4,No
532,Y,80,53,Sales,Sales Executive,Non-Travel,Single,8854,1,16,2,3,Yes
533,Y,80,40,Sales,Manufacturing Director,Non-Travel,Married,12196,2,15,3,3,No
534,Y,80,33,Research & Development,Manager,Travel_Rarely,Divorced,18033,1,7,3,3,Yes
535,Y,80,56,Research & Development,Laboratory Technician,Travel_Rarely,Married,9637,1,12,3,3,No
536,Y,80,59,Sales,Sales Executive,Non-Travel,Single,14962,4,15,4,3,No
537,Y,80,56,Sales,Research Scientist,Non-Travel,Married,16940,4,10,3,3,No
538,Y,80,31,Sales,Sales Executive,Travel_Rarely,Divorced,12618,1,5,2,3,No
539,Y,80,48,Human Resources,Laboratory Technician,Non-Travel,Married,5793,3,2,4,3,No
540,Y,80,22,Research & Development,Manager,Travel_Frequently,Divorced,9373,4,0,4,3,No
541,Y,80,52,Human Resources,Laboratory Technician,Travel_Frequently,Divorced,4513,1,17,3,3,No
542,Y,80,40,Research & Development,Research Scientist,Travel_Frequently,Married,4327,4,4,1,4,No
543,Y,80,46,Research & Development,Manufacturing Director,Non-Travel,Single,10809,1,12,1,3,No
544,Y,80,28,Research & Development,Sales Executive,Travel_Rarely,Married,8452,4,9,2,3,No
545,Y,80,35,Research & Development,Manager,Non-Travel,Single,9642,4,4,3,3,Yes
546,Y,80,29,Sales,Manufacturing Director,Non-Travel,Single,16435,2,13,3,3,No
547,Y,80,26,Research & Development,Laboratory Technician,Travel_Rarely,Married,2992,1,16,4,3,No
548,Y,80,27,Research & Development,Manager,Travel_Rarely,Single,7424,1,0,4,3,Yes
549,Y,80,34,Research & Development,Manufacturing Director,Travel_Rarely,Single,6381,1,1,3,3,No
550,Y,80,55,Human Resources,Manager,Travel_Frequently,Married,6782,1,6,4,3,No
551,Y,80,24,Research & Development,Research Scientist,Non-Travel,Married,9460,4,9,3,3,No
552,Y,80,30,Research & Development,Research Scientist,Travel_Rarely,Married,4983,2,19,2,3,No
553,Y,80,57,Sales,Sales Executive,Non-Travel,Single,16182,2,6,4,3,No
554,Y,80,59,Research & Development,Sales Executive,Travel_Frequently,Divorced,4523,3,15,3,3,Yes
555,Y,80,26,Research & Development,Research Scientist,Travel_Frequently,Single,11677,1,4,4,3,No
556,Y,80,44,Sales,Manager,Travel_Rarely,Divorced,12292,3,11,2,4,No
557,Y,80,19,Sales,Research Scientist,Travel_Rarely,Married,17089,4,16,4,4,No
558,Y,80,22,Research & Development,Sales Executive,Non-Travel,Divorced,6581,3,15,3,3,No
559,Y,80,46,Sales,Research Scientist,Travel_Rarely,Married,13907,1,19,4,4,No
560,Y,80,54,Research & Development,Research Scientist,Non-Travel,Married,7609,2,15,4,3,Yes
561,Y,80,55,Human Resources,Manager,Travel_Rarely,Divorced,19771,2,18,3,4,Yes
562,Y,80,36,Research & Development,Manufacturing Director,Non-Travel,Married,13375,1,14,1,3,No
563,Y,80,25,Sales,Sales Executive,Non-Travel,Divorced,19414,4,11,4,3,No
564,Y,80,18,Research & Development,Manager,Non-Travel,Married,11957,1,9,4,4,No
565,Y,80,39,Sales,Research Scientist,Non-Travel,Single,14955,4,1,2,3,No
566,Y,80,34,Sales,Research Scientist,Travel_Frequently,Single,3220,2,6,1,3,No
567,Y,80,24,Research & Development,Manufacturing Director,Non-Travel,Married,15163,4,12,2,3,Yes
568,Y,80,42,Research & Development,Sales Executive,Travel_Rarely,Married,15289,1,2,3,3,No
569,Y,80,21,Research & Development,Sales Executive,Travel_Frequently,Divorced,14537,1,14,3,3,No
570,Y,80,53,Research & Development,Laboratory Technician,Travel_Frequently,Single,11810,1,0,2,3,No
571,Y,80,23,Sales,Sales Executive,Non-Travel,Divorced,11455,4,2,4,4,No
572,Y,80,48,Sales,Manufacturing Director,Travel_Frequently,Married,11063,4,9,1,3,No
573,Y,80,36,Research & Development,Laboratory Technician,Non-Travel,Married,2834,4,14,2,4,No
574,Y,80,56,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,3724,2,5,2,4,No
575,Y,80,44,Research & Development,Research Scientist,Non-Travel,Married,4413,3,19,3,3,No
576,Y,80,27,Sales,Research Scientist,Travel_Frequently,Single,11505,3,14,4,3,No
577,Y,80,43,Research & Development,Sales Executive,Travel_Rarely,Divorced,6498,1,6,1,4,No
578,Y,80,36,Sales,Laboratory Technician,Non-Travel,Single,4105,2,4,2,3,No
579,Y,80,56,Sales,Research Scientist,Travel_Rarely,Single,4568,4,3,1,3,No
580,Y,80,20,Research & Development,Manufacturing Director,Travel_Rarely,Single,11330,1,17,1,3,No
581,Y,80,30,Sales,Research Scientist,Travel_Frequently,Divorced,18593,2,2,2,3,No
582,Y,80,45,Sales,Research Scientist,Travel_Rarely,Married,6911,1,16,1,3,Yes
583,Y,80,37,Research & Development,Laboratory Technician,Travel_Frequently,Single,18617,2,17,3,3,No
584,Y,80,45,Research & Development,Laboratory Technician,Travel_Rarely,Single,2792,2,17,4,3,No
585,Y,80,25,Research & Development,Manager,Non-Travel,Single,16195,3,1,4,3,Yes
586,Y,80,58,Sales,Manufacturing Director,Travel_Rarely,Married,15901,1,12,4,4,No
587,Y,80,56,Sales,Laboratory Technician,Non-Travel,Married,17762,4,14,3,3,No
588,Y,80,18,Sales,Sales Executive,Non-Travel,Divorced,10526,3,4,3,4,Yes
589,Y,80,20,Sales,Manufacturing Director,Travel_Rarely,Married,17898,3,2,3,3,No
590,Y,80,30,Research & Development,Manufacturing Director,Non-Travel,Divorced,3214,4,4,4,3,No
